0 5 10 15 
0 5 10 16 
0 5 10 17 
0 5 10 18 
0 5 10 19 
0 5 11 15 
0 5 11 16 
0 5 11 17 
0 5 11 18 
0 5 11 19 
0 5 12 15 
0 5 12 16 
0 5 12 17 
0 5 12 18 
0 5 12 19 
0 5 13 15 
0 5 13 16 
0 5 13 17 
0 5 13 18 
0 5 13 19 
0 5 14 15 
0 5 14 16 
0 5 14 17 
0 5 14 18 
0 5 14 19 
0 6 10 15 
0 6 10 16 
0 6 10 17 
0 6 10 18 
0 6 10 19 
0 6 11 15 
0 6 11 16 
0 6 11 17 
0 6 11 18 
0 6 11 19 
0 6 12 15 
0 6 12 16 
0 6 12 17 
0 6 12 18 
0 6 12 19 
0 6 13 15 
0 6 13 16 
0 6 13 17 
0 6 13 18 
0 6 13 19 
0 6 14 15 
0 6 14 16 
0 6 14 17 
0 6 14 18 
0 6 14 19 
0 7 10 15 
0 7 10 16 
0 7 10 17 
0 7 10 18 
0 7 10 19 
0 7 11 15 
0 7 11 16 
0 7 11 17 
0 7 11 18 
0 7 11 19 
0 7 12 15 
0 7 12 16 
0 7 12 17 
0 7 12 18 
0 7 12 19 
0 7 13 15 
0 7 13 16 
0 7 13 17 
0 7 13 18 
0 7 13 19 
0 7 14 15 
0 7 14 16 
0 7 14 17 
0 7 14 18 
0 7 14 19 
0 8 10 15 
0 8 10 16 
0 8 10 17 
0 8 10 18 
0 8 10 19 
0 8 11 15 
0 8 11 16 
0 8 11 17 
0 8 11 18 
0 8 11 19 
0 8 12 15 
0 8 12 16 
0 8 12 17 
0 8 12 18 
0 8 12 19 
0 8 13 15 
0 8 13 16 
0 8 13 17 
0 8 13 18 
0 8 13 19 
0 8 14 15 
0 8 14 16 
0 8 14 17 
0 8 14 18 
0 8 14 19 
0 9 10 15 
0 9 10 16 
0 9 10 17 
0 9 10 18 
0 9 10 19 
0 9 11 15 
0 9 11 16 
0 9 11 17 
0 9 11 18 
0 9 11 19 
0 9 12 15 
0 9 12 16 
0 9 12 17 
0 9 12 18 
0 9 12 19 
0 9 13 15 
0 9 13 16 
0 9 13 17 
0 9 13 18 
0 9 13 19 
0 9 14 15 
0 9 14 16 
0 9 14 17 
0 9 14 18 
0 9 14 19 
1 5 10 15 
1 5 10 16 
1 5 10 17 
1 5 10 18 
1 5 10 19 
1 5 11 15 
1 5 11 16 
1 5 11 17 
1 5 11 18 
1 5 11 19 
1 5 12 15 
1 5 12 16 
1 5 12 17 
1 5 12 18 
1 5 12 19 
1 5 13 15 
1 5 13 16 
1 5 13 17 
1 5 13 18 
1 5 13 19 
1 5 14 15 
1 5 14 16 
1 5 14 17 
1 5 14 18 
1 5 14 19 
1 6 10 15 
1 6 10 16 
1 6 10 17 
1 6 10 18 
1 6 10 19 
1 6 11 15 
1 6 11 16 
1 6 11 17 
1 6 11 18 
1 6 11 19 
1 6 12 15 
1 6 12 16 
1 6 12 17 
1 6 12 18 
1 6 12 19 
1 6 13 15 
1 6 13 16 
1 6 13 17 
1 6 13 18 
1 6 13 19 
1 6 14 15 
1 6 14 16 
1 6 14 17 
1 6 14 18 
1 6 14 19 
1 7 10 15 
1 7 10 16 
1 7 10 17 
1 7 10 18 
1 7 10 19 
1 7 11 15 
1 7 11 16 
1 7 11 17 
1 7 11 18 
1 7 11 19 
1 7 12 15 
